Row 0: ('小学', '周一', '周二、三、四', '周五')
Row 1: ('第1节课', '8:40—  9:20', '8:20—  9:00', '8:20—  9:00')
Row 2: ('第2节课', '9:25—10:05', '9:05—9:45', '9:05—9:45')
Row 3: ('大课间', None, '9:45—10:15', '9:45—10:15')
Row 4: ('第3节课', '10:15—10:55', '10:15—10:55', '10:15—10:55')
Row 5: ('第4节课', '11:00—11:40', '11:00—11:40', '11:00—11:40')
Row 6: ('午饭&午休', '11:40—12:35', '11:40—12:35', '11:40—12:35')
Row 7: ('第5节课', '12:35—13:15', '12:35—13:15', '12:35—13:15')
Row 8: ('第6节课', '13:25—14:05', '13:25—14:05', '13:25—14:05')
Row 9: ('第7节课', '14:10—14:50', '14:10—14:50', '14:10—14:50')
Row 10: ('大课间', '14:50—15:10', '14:50—15:10', '14:50—15:00')
Row 11: ('第8节课', '15:10—15:50', '15:10—15:50', '15:00—15:40')
Row 15: ('初中', '周一', '周二、三、四', '周五')
Row 16: ('第1节课', '8:30—  9:10', '8:10—  8:50', '8:10—  8:50')
Row 17: ('第2节课', '9:15—  9:55', '8:55—9:35', '8:55—9:35')
Row 18: ('大课间', None, '9:35—10:05', '9:35—10:05')
Row 19: ('第3节课', '10:05—10:45', '10:05—10:45', '10:05—10:45')
Row 20: ('第4节课', '10:50—11:30', '10:50—11:30', '10:50—11:30')
Row 21: ('第5节课', '11:40—12:20', '11:40—12:20', '11:40—12:20')
Row 22: ('午饭&午休', '12:20—13:15', '12:20—13:15', '12:20—13:15')
Row 23: ('第6节课', '13:15—13:55', '13:15—13:55', '13:15—13:55')
Row 24: ('第7节课', '14:05—14:45', '14:05—14:45', '14:05—14:45')
Row 25: ('大课间', '14:45—15:00', '14:45—15:00', '14:45—15:00')
Row 26: ('第8节课', '15:00—15:40', '15:00—15:40', '15:00—15:40')
Row 27: ('第9节课', '15:50—16:30', '15:50—16:30', None)
Row 30: ('高中', '周一', '周二、三、四', '周五')
Row 31: ('第1节课', '8:30—  9:10', '8:10—  8:50', '8:10—  8:50')
Row 32: ('第2节课', '9:15—  9:55', '8:55—9:35', '8:55—9:35')
Row 33: ('大课间', None, '9:35—10:05', '9:35—10:05')
Row 34: ('第3节课', '10:05—10:45', '10:05—10:45', '10:05—10:45')
Row 35: ('第4节课', '10:50—11:30', '10:50—11:30', '10:50—11:30')
Row 36: ('第5节课', '11:40—12:20', '11:40—12:20', '11:40—12:20')
Row 37: ('午饭&午休', '12:20—13:15', '12:20—13:15', '12:20—13:15')
Row 38: ('第6节课', '13:15—13:55', '13:15—13:55', '13:15—13:55')
Row 39: ('第7节课', '14:05—14:45', '14:05—14:45', '14:05—14:45')
Row 40: ('大课间', '14:45—15:00', '14:45—15:00', '14:45—15:00')
Row 41: ('第8节课', '15:00—15:40', '15:00—15:40', '15:00—15:40')
Row 42: ('第9节课', '15:50—16:30', '15:50—16:30', None)
Row 43: ('第10节课(选修课时间）', '16:40—17:20', '16:40—17:20', None)
Row 44: ('第11节课(选修课时间）', '17:20—18:00', '17:20—18:00', None)
Row 45: ('第12节课（晚自习时间）', '18:30-19:30', '18:30-19:30', None)
Row 46: ('第13节课（晚自习时间）', '19:30-20:30', '19:30-20:30', None)
